"last_name, first_name","player_id","year","batting_avg","slg_percent","on_base_percent","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","hp_to_1b",""
"Hernandez, Cesar","514917","2016",".294",".393",".371","87","5",29.9,"8",1.8,1.4,28.5,29.2,67.6,23.7,58.5,84.9,"4.08",
"Segura, Jean","516416","2016",".319",".499",".368","89","7.9",31,"32",5.9,5.7,22.7,33.8,63.4,30,70.3,87.7,"4.14",
"Castro, Starlin","516770","2016",".270",".433",".300","88.5","8.9",32.3,"25",5.4,4.9,25.6,34.2,68.1,35.1,61.3,84.6,"4.26",
"Marte, Starling","516782","2016",".311",".456",".362","87.5","9.2",35.8,"21",5.4,7,24.4,37,73.1,38.1,57.1,83.1,"4.11",
"Dietrich, Derek","518618","2016",".279",".425",".374","85.5","13",39.3,"22",8.1,5.5,22.4,32,65.8,30.4,63.5,88.8,"4.23",
"Donaldson, Josh","518626","2016",".284",".549",".404","92.2","14.9",32.4,"57",12.3,6.7,24.2,49.2,63.3,23.4,59.8,82.7,"4.37",
"Freeman, Freddie","518692","2016",".302",".569",".400","91.3","17.3",44.7,"56",13.2,9.5,25.3,44.7,79.5,29.4,57.4,76.2,"4.5",
"Grandal, Yasmani","518735","2016",".228",".477",".339","91.3","12.4",28.4,"34",12.4,6.5,20.7,44.7,61.5,20.6,50,80.5,"4.89",
"Heyward, Jason","518792","2016",".230",".325",".306","86.8","10.7",28.9,"13",3,3,27.5,30.9,59.9,23.8,70,87.7,"4.3",
"LeMahieu, DJ","518934","2016",".348",".495",".416","91.8","6.1",36.2,"24",4.9,5.6,34.4,47.7,59.5,23.2,79.2,91.2,"4.53",
"Lucroy, Jonathan","518960","2016",".292",".500",".355","87.6","14.5",37.6,"29",7.4,5.3,28.2,35,56.7,28.3,67.4,86.8,"4.63",
"Moreland, Mitch","519048","2016",".233",".422",".298","90.6","14.4",33.6,"33",9.6,6.1,26.9,39.5,70,32.4,54.8,81.5,"4.42",
"Norris, Derek","519083","2016",".186",".328",".255","87.4","18.9",38,"15",5.4,5.7,26.5,32.6,64.2,23.3,44.1,82.6,"4.44",
"Revere, Ben","519184","2016",".217",".300",".260","83.6","5.5",29.1,"2",0.6,2.5,19.7,16.3,53.8,24.9,79,93.7,"4.28",
"Rizzo, Anthony","519203","2016",".292",".544",".385","89.1","16.3",31.6,"44",9.2,5.9,23.2,36.2,64,29.8,68,86.6,"4.47",
"Rupp, Cameron","519237","2016",".252",".447",".303","91.3","9",28.6,"25",9.1,6.2,23.6,47.1,67.6,28.7,55.7,75.6,"4.75",
"Smolinski, Jake","519295","2016",".238",".345",".299","87.5","13.1",30.9,"11",4.4,4.4,28.1,30.9,63.9,30.2,69.1,91.1,"4.34",
"Souza Jr., Steven","519306","2016",".247",".409",".303","89.9","13",37.4,"29",10.6,7.7,22.3,38.1,70.6,27.5,51.6,71.3,"4.22",
"Stanton, Giancarlo","519317","2016",".240",".489",".326","93.9","13.9",29.5,"43",15.6,6.9,20,47.6,66.1,30.9,45.4,76.8,"4.54",
"Vogt, Stephen","519390","2016",".251",".406",".305","85.9","19.4",40.7,"21",5.1,5.1,24.6,26.8,60.1,30.9,69.9,88.8,"4.46",
"Galvis, Freddy","520471","2016",".241",".399",".274","87.4","13.6",33.9,"13",2.8,4.8,26.1,27.4,68.3,39.1,68.6,83.9,"4.24",
"Perez, Salvador","521692","2016",".247",".438",".288","88.8","18.9",29.5,"25",6.3,6,23.7,37.8,69.1,42.6,63.1,86.3,"4.69",
"Forsythe, Logan","523253","2016",".264",".444",".333","90","13.6",38.9,"29",7.5,8.8,26.9,38.9,57.5,18.8,62.9,81.4,"4.43",
"Flores, Wilmer","527038","2016",".267",".469",".319","86.5","18.4",37.4,"13",5,4.2,24,29,69.9,28.5,76.4,85.6,"4.59",
"Garcia, Avisail","541645","2016",".245",".385",".307","90.2","5.4",31.3,"24",8,5,28.3,40,75.4,37.6,47,79,"4.33",
"Perez, Hernan","541650","2016",".272",".428",".302","88.8","12.4",34.1,"12",3.8,5,25.9,38.2,67.8,40.2,57.8,82.3,"4.3",
"Inciarte, Ender","542255","2016",".291",".381",".351","85.5","8.2",31.5,"3",0.7,1.7,26.5,15,63.9,31.5,77.9,90.1,"4.12",
"Ozuna, Marcell","542303","2016",".266",".452",".321","90.8","10.9",32.3,"35",7.8,5.6,25.6,42.2,64.4,31.5,54.3,83.9,"4.39",
"Villar, Jonathan","542340","2016",".285",".457",".369","90.3","4.7",28.8,"27",6.4,5.7,22.9,38.2,66.4,22.4,52.6,77.6,"4.18",
"Burns, Billy","542993","2016",".235",".296",".271","82.8","7",24.7,"0",0,0,20.8,12.5,71.2,31.4,78.2,89.3,"3.91",
"Crawford, Brandon","543063","2016",".275",".430",".342","88.9","12.9",33.8,"24",5.4,6.9,23.5,34.7,76.8,29.4,54.6,81.5,"4.36",
"Cron, C.J.","543068","2016",".278",".467",".325","89.5","12.4",33.8,"28",8.3,8,23.1,39.2,69.2,35.5,62.6,84.2,"4.65",
"Giavotella, Johnny","543213","2016",".260",".376",".287","85.7","9.7",30.6,"5",1.6,2.2,28.7,22,65.5,27.9,60.9,91.2,"4.29",
"Grossman, Robbie","543257","2016",".280",".443",".386","86.5","13.2",35.2,"12",5.1,4.2,32.6,28.4,58,18.7,53.8,82.2,"4.29",
"Harrison, Josh","543281","2016",".283",".388",".311","86.5","13",36.6,"9",2.1,5.4,24.6,22.9,71.6,36.2,76.8,80.2,"4.23",
"Hicks, Aaron","543305","2016",".217",".336",".281","89.1","10.7",28.5,"12",4.6,5.3,21.7,35,70.7,23.5,57.3,80.7,"4.17",
"Hosmer, Eric","543333","2016",".266",".433",".328","92","4",26,"44",9.2,6.1,20.8,44.2,69.9,31.4,55.3,84,"4.46",
"Kipnis, Jason","543401","2016",".275",".469",".343","89.9","14.8",38.2,"32",6.7,7.8,27.9,39.5,61,25.8,61.2,87.7,"4.35",
"Lawrie, Brett","543434","2016",".248",".413",".310","88.9","16.8",30.9,"16",6.6,5.8,25.1,34.6,61.3,30.7,52.9,77.7,"4.2",
"McCann, James","543510","2016",".221",".358",".272","88.4","16.2",29.3,"23",9.6,5,23.4,36.8,61.4,30.6,52.1,79.9,"4.63",
"Miller, Brad","543543","2016",".243",".482",".304","90.6","12",29.6,"39",9.7,6.7,21.6,42.5,70.3,29.1,59.5,78.9,"4.31",
"Nieuwenhuis, Kirk","543590","2016",".209",".385",".324","90.3","9.7",28.7,"20",9.9,5.4,20.8,37.1,66.4,21,42.1,69.3,"4.39",
"Rendon, Anthony","543685","2016",".270",".450",".348","91.1","16.9",35.4,"27",5.9,9,24.9,41.5,62.3,21.1,71.6,86.3,"4.25",
"Semien, Marcus","543760","2016",".238",".435",".300","88","15.4",31.8,"29",6.7,7.7,19.7,35.3,65.6,25.4,62,81.3,"4.22",
"Shaw, Travis","543768","2016",".242",".421",".306","88.7","16",34.2,"28",8,6.6,23.9,34.2,67.4,31.7,60.7,83.4,"4.46",
"Springer III, George","543807","2016",".261",".457",".359","89.4","8.8",32.1,"49",10.5,6,22.5,38.5,71.2,25.5,59.8,76.7,"4.3",
"Strange-Gordon, Dee","543829","2016",".268",".335",".305","82.8","3.7",26,"0",0,1.1,20.9,14,65.6,34.2,66.8,87.6,"3.92",
"Wong, Kolten","543939","2016",".240",".355",".327","86.8","10.9",30.1,"8",3,2.3,24.4,26.3,68.7,29.2,67.9,88.8,"4.19",
"Gregorius, Didi","544369","2016",".276",".447",".304","86.1","14.6",32.4,"14",2.9,2.9,24.1,25.3,74.4,38.7,71.1,86.9,"4.23",
"Grichuk, Randal","545341","2016",".240",".480",".289","91.4","16.3",27.8,"30",9.8,8.5,24.5,46.1,73,35.7,54.4,77.5,"4.32",
"Marisnick, Jake","545350","2016",".209",".331",".257","86.8","11.6",31.1,"9",4.3,3.8,22,34,73.9,31.8,56.6,78.7,"4.22",
"Trout, Mike","545361","2016",".315",".550",".441","90.9","13.8",37.6,"60",14.4,5.8,26.4,40.3,57.6,21.7,66.7,84.8,"4.24",
"Herrera, Odubel","546318","2016",".286",".420",".361","87.7","10.3",30.7,"19",4.2,4.6,25.2,30.9,68.7,34.5,62.3,82.7,"4.11",
"Harper, Bryce","547180","2016",".243",".441",".373","88.9","15.2",30.1,"29",7.3,4.5,22.6,36.1,67.4,24.3,63.1,83.4,"4.32",
"Kim, Hyun Soo","547957","2016",".302",".420",".382","90.5","6.5",30.2,"13",5.1,4.7,27.8,36.5,59.6,20.5,74,87.7,"4.33",
"Martin, Leonys","547982","2016",".247",".378",".306","87.6","12.9",30.3,"19",5,4.5,23.9,31.3,70.3,33.1,51.9,73.7,"4.31",
"Abreu, Jose","547989","2016",".293",".468",".353","89.7","10.3",32.7,"40",7.9,5.3,25.8,39.4,68.1,37.5,62.3,85.7,"4.64",
"Suarez, Eugenio","553993","2016",".248",".411",".317","86.6","16",38.3,"26",6.3,3.9,25.4,29.1,61.5,25.8,57.1,82.7,"4.45",
"Polanco, Gregory","570256","2016",".258",".463",".323","89.9","14",34.5,"25",6,6.7,27.7,40,69,29.8,63.9,86.4,"4.27",
"Schoop, Jonathan","570731","2016",".267",".454",".298","87.4","11.9",29.7,"33",6.9,3.7,24.1,35.1,79.3,41.9,52.7,81.2,"4.53",
"Adams, Matt","571431","2016",".249",".471",".309","89.8","20",38.8,"24",11,4.6,20.5,40.2,68.7,38.3,61.2,82.5,"4.6",
"Arenado, Nolan","571448","2016",".294",".570",".362","89.5","18.8",32.7,"47",9,5.5,22,39.8,67,32,69.7,87.5,"4.51",
"Barnhart, Tucker","571466","2016",".257",".379",".323","86.1","9.6",39,"8",2.6,6.1,30,23.2,72.3,24.8,64.2,84.6,"4.69",
"Bour, Justin","571506","2016",".264",".475",".349","91.8","10.1",34.4,"23",10.1,7,23.8,46.7,63,28.6,64.3,82.1,"4.64",
"Gennett, Scooter","571697","2016",".263",".412",".317","86.9","12.3",34.4,"15",3.9,3.4,25.8,24.5,73.5,33.2,62.8,83.1,"4.52",
"Hamilton, Billy","571740","2016",".260",".343",".321","83.4","10.5",28.8,"1",0.3,0.6,26.1,11.5,65.4,24.5,65.1,83,"3.96",
"Holt, Brock","571788","2016",".255",".383",".322","86","6.2",31.4,"6",2.5,4.7,28.8,26.3,54.4,23.3,72.6,96,"4.18",
"Joseph, Tommy","571830","2016",".257",".505",".308","89.9","16.8",32.9,"29",11.8,4.9,23.6,41.9,70.4,33.7,64,84,"4.85",
"Lamb, Jake","571875","2016",".249",".509",".332","91.3","10.4",34.6,"43",11.5,6.2,20.4,43.4,64.1,25.3,47.7,81.1,"4.38",
"Myers, Wil","571976","2016",".259",".461",".336","88.6","10.1",36.7,"31",7,7,22.7,39.2,57.6,24.9,69.1,82.4,"4.35",
"Naquin, Tyler","571980","2016",".296",".514",".372","91","10.6",35.7,"18",8.5,5.6,31.5,45.1,71.5,33.7,61.3,72.7,"4.25",
"Owings, Chris","572008","2016",".277",".416",".315","88.1","8.6",28.8,"10",2.8,6.2,28,32.8,68.9,34.3,58,86.6,"4.1",
"Piscotty, Stephen","572039","2016",".273",".457",".343","88.3","13.7",33.4,"39",8.6,6.9,23.9,37.8,72.4,33,59.4,81.1,"4.37",
"Schimpf, Ryan","572114","2016",".217",".533",".336","90.3","29.7",30.5,"29",16.7,8,14.4,41.4,64.6,23.5,54.7,78.6,"4.27",
"Seager, Kyle","572122","2016",".278",".499",".359","90.3","16.8",36.3,"44",9,7.7,26.9,41.3,61.3,24.2,67.9,86.3,"4.58",
"Carpenter, Matt","572761","2016",".271",".505",".380","90.7","18.2",43,"42",11.3,8.1,26.6,41.9,57.1,22.3,60.7,88.8,"4.36",
"Dickerson, Corey","572816","2016",".245",".469",".293","89","18.1",34.1,"42",11.1,5.6,20.6,38.1,74.8,41,66.8,73.5,"4.28",
"Dozier, Brian","572821","2016",".268",".546",".340","88.1","18.8",31.2,"40",8.3,7.4,20.2,36.2,61.2,28.2,65.6,81.8,"4.27",
"Saladino, Tyler","573135","2016",".282",".409",".315","86.7","8.4",32,"7",2.9,5,24.5,27,66.6,28.2,65.2,89.2,"4.38",
"Gyorko, Jedd","576397","2016",".242",".495",".306","87.7","14.9",36.1,"30",9.8,6.2,22.6,36.1,69.7,27.6,52.6,82,"4.59",
"Iglesias, Jose","578428","2016",".255",".336",".306","83.6","8.3",29,"3",0.7,0.9,24.8,20.8,54.3,35.5,80,93.1,"4.09",
"Travis, Devon","581527","2016",".300",".454",".332","87","11.4",34.2,"13",4,6.2,27.1,31.1,62,36.3,69.1,88.6,"4.34",
"Hechavarria, Adeiny","588751","2016",".236",".311",".283","88.1","8",29.8,"5",1.1,3.9,28,31.4,67,33.3,71.1,88.6,"4.36",
"Bryant, Kris","592178","2016",".292",".554",".385","89.3","20.8",36.3,"53",11.7,8,22.3,38.9,72.1,28.7,57.6,78.7,"4.24",
"Castellanos, Nick","592206","2016",".285",".496",".331","89.4","16.9",48.2,"44",14.4,5.6,25.9,39,73.4,35.8,51.2,81,"4.41",
"Drury, Brandon","592273","2016",".282",".458",".329","88.8","9.3",31.5,"25",6.8,4.4,24.9,36.7,59.2,30.8,57.8,87.4,"4.41",
"Machado, Manny","592518","2016",".294",".533",".343","90.3","14.5",34.9,"49",9.3,8.6,23.6,43.2,70,30.6,61.9,85.1,"4.63",
"Pederson, Joc","592626","2016",".246",".495",".352","92.3","15.3",30.8,"35",12.5,5.7,22.2,47,62.1,25.5,56.5,80.3,"4.34",
"Realmuto, J.T.","592663","2016",".303",".428",".343","88.6","9.8",28.4,"16",3.9,3.4,28.4,35.2,66.2,30.2,66.5,86.5,"4.19",
"Rosario, Eddie","592696","2016",".269",".421",".295","87.7","11.3",33.3,"12",4.8,6.8,24.9,31.7,76.4,40.7,60.1,76.7,"4.15",
"Simmons, Andrelton","592743","2016",".281",".366",".324","86.7","4.5",29.6,"5",1.2,3.9,25.8,29.6,69.4,26.2,74.9,91.5,"4.47",
"Yelich, Christian","592885","2016",".298",".483",".376","92.6","2.7",31.9,"43",9.7,7.2,26.5,49.9,63.4,20.9,49.8,85.6,"4.22",
"Merrifield, Whit","593160","2016",".283",".392",".323","88.1","12.2",29.9,"7",2.9,6.6,27.4,34.4,62.2,34,62.4,86.7,"4.2",
"Bogaerts, Xander","593428","2016",".294",".446",".356","89","11",28,"28",5.3,4.7,24.2,32.7,58.4,32.4,65.5,88.1,"4.19",
"Sano, Miguel","593934","2016",".236",".462",".319","92.4","16.9",32.4,"37",14.1,8.8,21.8,49.2,60.5,22.7,36.6,75.4,"4.51",
"Calhoun, Kole","594777","2016",".271",".438",".348","89.8","15.1",36.2,"30",6.2,8.3,27,40.5,73,29.3,53.4,84.6,"4.52",
"Duvall, Adam","594807","2016",".241",".498",".297","88.6","19.2",36.1,"48",12.1,7.8,23,41.4,68.4,32.7,53.8,81.9,"4.36",
"Eaton, Adam","594809","2016",".284",".428",".362","89.1","4.9",31.1,"16",3.1,6,25.1,36.2,66.6,29.7,70.2,85.6,"4.07",
"Gattis, Evan","594828","2016",".251",".508",".319","89.4","12.9",32.6,"34",10.5,4.9,19.7,35.7,65.9,29.1,61.1,81.1,"4.43",
"Kiermaier, Kevin","595281","2016",".246",".410",".331","87.9","14",29.7,"13",4.4,4.4,22.5,32.4,66.6,26.2,63.2,79,"3.99",
"Profar, Jurickson","595777","2016",".239",".338",".321","86.4","6.9",26.3,"6",2.8,3.3,24.9,28.6,59,25.5,64,89.1,"4.48",
"Baez, Javier","595879","2016",".273",".423",".314","88.4","14.1",25.6,"18",5.7,5.7,20.6,32.3,68,41.7,59.3,78.9,"4.18",
"Lindor, Francisco","596019","2016",".301",".435",".358","88.7","7.9",34.6,"22",4.1,3.9,27.7,33.5,68.8,28.5,71.5,86.6,"4.32",
"Odor, Rougned","596059","2016",".271",".502",".296","89.6","14.3",31.2,"37",7.8,8.4,21.3,37.6,69.1,41.7,60.3,86,"4.19",
"Story, Trevor","596115","2016",".272",".567",".341","91.1","17.8",44.5,"34",13.9,9.8,25.7,44.5,63.9,28.4,54.7,78,"4.17",
"Cuthbert, Cheslor","596144","2016",".274",".413",".318","89.3","12.4",27,"9",2.4,5,25.7,36.9,67.6,30.1,58,84.7,"4.47",
"Kepler, Max","596146","2016",".235",".424",".309","89.7","8.5",30.1,"12",3.9,7.1,22.7,37.5,59.4,28.9,59.2,88.7,"4.22",
"Franco, Maikel","596748","2016",".255",".427",".306","89.5","11.8",28.6,"33",6.9,5.8,22.8,40.7,72.4,32.1,60.1,83.3,"4.67",
"Bradley Jr., Jackie","598265","2016",".267",".486",".349","90.3","10.1",29,"36",8.6,7.1,21.7,39.3,63.9,27.3,58.1,80,"4.32",
"Ahmed, Nick","605113","2016",".218",".299",".265","87.1","8.9",29.4,"6",2.6,3.5,25.1,29,75.2,27.2,59.6,83.7,"4.29",
"Betts, Mookie","605141","2016",".318",".534",".363","89.7","12.5",31.7,"31",5.2,6.7,22.9,39.9,57.5,23.1,64.6,93,"4.23",
"Panik, Joe","605412","2016",".239",".379",".315","86.3","13",30.6,"19",4.5,4,24,26.8,63.5,21.8,75.2,93.1,"4.4",
"Marte, Ketel","606466","2016",".259",".323",".287","85.8","7",29,"1",0.3,3,24.3,19.9,64.1,33.2,66.9,85.8,"4.22",
"Peterson, Jace","607054","2016",".254",".366",".350","88.2","3.7",31.5,"9",3.1,6.3,23.8,32.9,60.2,22.1,62.6,88.3,"4.18",
"Turner, Trea","607208","2016",".342",".567",".370","89.9","11.5",34.4,"17",6.8,5.6,27.6,36.4,63.5,31.8,56.8,86,"4.06",
"Pillar, Kevin","607680","2016",".266",".376",".303","87.1","11.6",27.8,"14",3,4.7,24.1,30.2,61.3,37.3,64.4,89.5,"4.29",
"Ramirez, Jose","608070","2016",".312",".462",".363","88.4","13.2",35,"15",3,5.5,27.8,32.9,62.1,26.2,81.9,89.2,"4.24",
"Russell, Addison","608365","2016",".238",".417",".321","87.6","15.2",32.3,"37",9.3,2.3,24,31.6,72.1,28.6,55.6,76.7,"4.21",
"Seager, Corey","608369","2016",".308",".512",".365","91.1","10.3",37.5,"41",8.3,7.5,28.4,44,78.5,28.8,55.4,85.2,"4.52",
"Mazara, Nomar","608577","2016",".266",".419",".320","88","8.6",32.6,"28",6.8,5.4,23.6,35,61.2,31.6,67.2,87.8,"4.37",
"Jankowski, Travis","608671","2016",".245",".313",".332","86.2","0.8",28.2,"3",1.3,1.3,27.7,26.9,60.3,22.2,60.1,80.2,"4.08",
"Garcia, Adonis","611177","2016",".273",".406",".311","89","7.9",30.1,"23",5.2,3.4,30.5,34.9,69.6,36.5,67.1,85.4,"4.5",
"Correa, Carlos","621043","2016",".274",".451",".361","91","7",32.9,"34",7.7,7.7,27,43.5,63.5,27.8,61.6,82.4,"4.26",
"Buxton, Byron","621439","2016",".225",".430",".284","89.5","17.3",29.9,"10",5.3,5.9,21.4,31.6,63.6,32.5,40.6,77,"4.01",
"Duffy, Matt","622110","2016",".258",".357",".310","87.3","7.3",34.6,"10",3.5,3.5,25.2,30.4,64.1,26.3,65.2,91.1,"4.38",
"Conforto, Michael","624424","2016",".220",".414",".310","90.2","15.1",37.2,"22",10.1,7.3,20.6,39,63.1,27.2,55.9,86.5,"4.43",
"Puig, Yasiel","624577","2016",".263",".416",".323","90.4","11.7",24.7,"17",6.5,4.6,20.5,41.1,75,29.9,51.8,79.7,"4.31",
"Kang, Jung Ho","628356","2016",".255",".513",".354","90.3","11",29,"20",8.3,8.3,21.6,39.8,57.9,22.5,60.2,82.2,"4.62",
"Tomas, Yasmany","630111","2016",".272",".508",".313","90.6","10",33.7,"42",10.6,6.6,26.6,42,79.8,39.9,53,79.7,"4.53",
"Anderson, Tim","641313","2016",".283",".432",".306","87.8","6.6",30,"16",5.3,3,27.3,34.3,67.5,33.6,48.7,78.7,"4.21",
"Diaz, Aledmys","649557","2016",".300",".510",".369","89.5","12.6",30.1,"16",4.5,5.4,21,39.2,67.1,25.1,63.6,88.4,"4.15",
"Beltre, Adrian","134181","2017",".312",".532",".383","86.7","12.5",36.1,"17",5.8,6.5,25.9,32.5,67,29.4,71.1,86.6,"4.72",
"Beltran, Carlos","136860","2017",".231",".383",".283","87.3","13.4",29.4,"17",4.6,5.4,24.5,31,66.4,32.5,64.9,89.1,"4.48",
"Martinez, Victor","400121","2017",".255",".372",".324","88.7","13.3",37.8,"18",5.4,5.7,28.1,34.5,68.3,26,73.5,87.9,"4.91",
"Utley, Chase","400284","2017",".236",".405",".324","86.9","11",36.9,"11",4.3,9,20.8,28.5,58,18.1,71.8,89.6,"4.23",
"Pujols, Albert","405395","2017",".241",".386",".286","88.7","13.5",31.9,"27",5.4,7.7,24.2,39.2,64.1,32,64,87.9,"5.11",
"Holliday, Matt","407812","2017",".231",".432",".316","89.9","11.8",31.4,"27",10.2,5.7,21.6,44.3,66,25.7,51,80.1,"4.59",
"Mauer, Joe","408045","2017",".305",".417",".384","90.6","6.2",35.7,"20",4.5,5.8,32.8,46.3,53.6,19.1,75,90.9,"4.53",
"Cabrera, Miguel","408234","2017",".249",".399",".329","91.1","12.4",41.7,"38",10.5,10.8,27.1,48.2,73,30.3,62.2,83.8,"4.87",
"Phillips, Brandon","408252","2017",".285",".416",".319","84.6","8.2",31.1,"12",2.4,3,28.7,25.1,75.6,39.4,68.3,86.8,"4.59",
"Reyes, Jose","408314","2017",".246",".413",".315","84.3","15.8",32.8,"11",2.6,4.2,24.7,24.2,62.8,29.6,71.3,87.4,"4.2",
"Choo, Shin-Soo","425783","2017",".261",".423",".357","88.7","7.9",36.1,"36",8.6,6.2,26.3,37.8,63.6,20.5,57.3,82.2,"4.44",
"Molina, Yadier","425877","2017",".273",".439",".312","87.9","14.5",35.2,"26",5.9,6.2,26.8,35,70.9,33.2,71.4,84.8,"4.81",
"Cano, Robinson","429664","2017",".280",".453",".338","90.3","7.5",33.9,"32",6.3,7.1,27.8,44,74.2,30.8,67.7,88.5,"4.61",
"Encarnacion, Edwin","429665","2017",".258",".504",".377","89.2","16.8",36.4,"44",10.3,7.3,25.8,42.5,67.8,20.9,57.4,80.5,"4.75",
"Bautista, Jose","430832","2017",".203",".366",".308","88.3","17",29.7,"28",6.6,6.8,21,35.6,62.9,22.7,56.3,78.1,"4.75",
"Jones, Adam","430945","2017",".285",".466",".322","86.9","11.9",33.6,"31",6.4,5.1,26.2,31.1,79.8,41.5,61.2,84.4,"4.48",
"Aybar, Erick","430947","2017",".234",".348",".300","82.7","7.5",30.2,"5",1.8,2.8,21.4,15.8,66.5,30.6,66,91.5,"4.37",
"Martin, Russell","431145","2017",".221",".388",".343","88.3","6.9",32.9,"16",7.1,7.6,23.1,37.9,60.9,17,56.7,80.9,"4.72",
"Granderson, Curtis","434158","2017",".212",".452",".323","87.7","20.2",33.1,"36",10.9,6.7,17.3,34.4,58.5,19.8,62.8,86.6,"4.27",
"Davis, Rajai","434658","2017",".235",".348",".293","86","11.3",34.1,"6",2.4,3.5,24.3,24.8,71.8,29.9,57,82,"4.03",
"Ramirez, Hanley","434670","2017",".242",".429",".320","88.5","12.6",35,"36",9.5,6.3,24.7,38.4,71.4,28.1,55.1,83.2,"4.62",
"Morales, Kendrys","434778","2017",".250",".445",".308","91.1","9.5",31.1,"43",10,7.5,28,46.6,71.4,32.2,58.9,77.9,"4.96",
"Kendrick III, Howie","435062","2017",".315",".475",".368","87.5","1.2",33.9,"19",7.9,3.3,25.9,34,64.4,31.5,67.6,83,"4.49",
"Napoli, Mike","435063","2017",".193",".428",".285","88.3","22.2",29.1,"42",15.8,2.6,21.1,41.5,61.8,25.3,51.1,71.9,"4.77",
"Kinsler, Ian","435079","2017",".236",".412",".313","86.3","19.5",37.2,"23",4.9,6,26,30.1,64.1,25,70.7,89.4,"4.4",
"McCann, Brian","435263","2017",".241",".436",".323","87.6","14.5",33.8,"16",5.4,8.1,23,33.8,62.8,27.4,72.6,88,"5.03",
"Walker, Neil","435522","2017",".265",".439",".362","85.9","17",35.4,"15",4.8,6.8,24.8,31.3,62.5,23.6,65.3,85.6,"4.46",
"Suzuki, Kurt","435559","2017",".283",".536",".351","87.2","18.6",32.9,"17",7.1,5,23.3,34.5,71.5,37.2,72.3,88.8,"4.66",
"Desmond, Ian","435622","2017",".274",".375",".326","87.6","0",22.5,"7",2.7,3.9,20.9,31.3,68.3,26.6,51.9,80.3,"4.34",
"Cruz Jr., Nelson","443558","2017",".288",".549",".375","93.2","12.4",34.5,"60",14.2,9.7,19.9,48.3,70.2,27.8,50.3,78.5,"4.7",
"Jaso, John","444379","2017",".211",".402",".328","85.8","19.1",37.7,"15",7.9,7.3,20.4,30.4,72.1,19.8,55.7,80,"4.53",
"Trumbo, Mark","444432","2017",".234",".397",".289","89.8","12.7",26.5,"29",7.1,5.8,22.4,38.5,71.6,31.3,54.1,78.6,"4.65",
"Peralta, David","444482","2017",".293",".444",".352","88","4.2",27,"18",4.1,4.8,24.7,35.4,70.5,28.8,61.5,85.5,"4.3",
"Pina, Manny","444489","2017",".279",".424",".327","87.1","17.6",40,"10",3.9,6.7,28.2,29.8,71.3,30.2,60.6,83.4,"4.63",
"Escobar, Alcides","444876","2017",".250",".357",".272","84","14",34.1,"11",2.2,4.5,25.8,21,73.2,35.5,67.2,83.5,"4.36",
"Jay, Jon","445055","2017",".296",".375",".374","85.7","10.3",40.1,"2",0.7,3.9,33.2,22.7,71.4,32.4,62,86.8,"4.45",
"Duda, Lucas","446263","2017",".217",".496",".322","90.3","19.2",40.3,"35",12.1,6.2,24.5,43.8,59.5,24,51.9,83.6,"4.68",
"Wieters, Matt","446308","2017",".225",".344",".288","85.7","12.4",34.3,"13",3.9,5.4,26.2,29.3,72,26.6,69.9,82.5,"4.71",
"Longoria, Evan","446334","2017",".261",".424",".313","86.7","12.7",32.4,"27",5.2,6.2,23.4,32.4,68.7,32.2,66.5,85.4,"4.38",
"Cozart, Zack","446359","2017",".297",".548",".385","85.8","14.8",35.7,"16",4.4,4.7,26.4,28.9,61,21.6,67.9,89.7,"4.45",
"Barney, Darwin","446381","2017",".232",".327",".275","82.7","11.7",32,"1",0.4,2.2,24.8,12.2,65.7,33.3,69.2,86.5,"4.39",
"Reynolds, Mark","448602","2017",".267",".487",".352","87.2","11.8",36.5,"29",8.3,8.3,21.8,35.9,67.2,22.6,42,73.8,"4.75",
"Davis, Chris","448801","2017",".215",".423",".309","90.1","15",40.4,"34",12.8,8.7,28.3,45.5,59,27.4,44.4,74.3,"4.67",
"Zobrist, Ben","450314","2017",".232",".375",".318","87.2","9.3",29,"17",4.6,4.9,25.5,32.2,58.3,21.4,70.2,90.7,"4.33",
"Fowler, Dexter","451594","2017",".264",".488",".363","88.5","13.1",40.2,"21",6.5,8.4,27.6,36.9,68.3,20.6,57.1,84.5,"4.26",
"Flowers, Tyler","452095","2017",".281",".445",".378","89.6","11.2",32.1,"15",6.3,8.9,29.5,40.1,72.8,24.7,61.3,79.1,"4.52",
"Headley, Chase","452104","2017",".273",".406",".352","87.2","11.7",36.9,"18",4.6,5.2,27.6,33.2,66.4,24.2,55.5,80.9,"4.69",
"Smith, Seth","452234","2017",".258",".433",".340","89.8","9.9",36.9,"18",7.1,7.9,27.4,40.9,56.9,25,62.9,86.6,"4.42",
"Lind, Adam","452252","2017",".303",".513",".362","90.7","10.7",32.7,"19",8.4,8,25.2,45,58.8,30.8,69.1,88.4,"4.63",
"Pence, Hunter","452254","2017",".260",".385",".315","89","4.2",25.3,"23",5.8,6.1,17.7,37.6,65,28.2,61.4,79.2,"4.16",
