"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Desmond, Ian","435622","2015","641","19","45",".233",".384",".290",".218",".362",".278","90.8","6.4",25.9,6.9,3.7,22.2,3.4,41.1,67.9,33,50.7,80.6,28.8,"4.38",
"Cruz Jr., Nelson","443558","2015","655","44","59",".302",".566",".369",".286",".546",".357","92.7","9.3",35.4,14.1,7.7,24.4,3,47.8,69.6,30.8,56.7,76.3,30.8,"4.56",
"Trumbo, Mark","444432","2015","545","22","36",".262",".449",".310",".252",".442",".302","92","13.3",31,9.8,6.1,22.3,1.6,43,69.5,36.1,53.6,78.5,30.9,"4.61",
"Peralta, David","444482","2015","517","17","44",".312",".522",".371",".281",".457",".350","91.6","6.7",35.4,8,6.1,26.8,1.4,43.4,67.3,31.2,55.2,86,24.4,"4.4",
"Escobar, Alcides","444876","2015","662","3","26",".257",".320",".293",".262",".329",".300","84.6","9.6",30.4,0.9,1.6,26.6,3.1,16.5,68.1,35.4,66.9,87.4,18,"4.4",
"Prado, Martin","445988","2015","551","9","37",".288",".394",".338",".274",".373",".330","89","9.1",33.8,2.3,3.9,31.1,1.4,33.6,52.1,25.4,75.1,93.6,11.5,"4.56",
"Duda, Lucas","446263","2015","554","27","66",".244",".486",".352",".254",".504",".363","91.7","19.8",40.2,11.6,6.8,24.4,0.9,42.3,62.8,27.3,59.2,85,24.9,"4.75",
"Longoria, Evan","446334","2015","670","21","51",".270",".435",".328",".260",".466",".322","89.6","15.4",33.5,8.5,7.9,23.1,2.5,39.7,65,29.4,64.1,82.3,23.7,"4.47",
"Davis, Chris","448801","2015","670","47","84",".262",".562",".361",".262",".589",".364","92","17.5",39.7,17.3,8.9,24.3,1.9,45.9,70.1,28.7,48.6,71.9,35.6,"4.49",
"Zobrist, Ben","450314","2015","535","13","62",".276",".450",".359",".260",".382",".347","88.6","8.2",29.3,3.6,4.8,23.8,1.4,34.9,55.4,21.4,77.8,91.1,12.5,"4.38",
"Fowler, Dexter","451594","2015","690","17","84",".250",".411",".346",".231",".347",".331","87.2","12.2",32,4.5,3.4,25.5,3.6,30.2,67.1,19,59.3,83,21.8,"4.34",
"Headley, Chase","452104","2015","642","11","51",".259",".369",".324",".261",".399",".329","86.8","11.9",36.7,5.1,4.5,28.5,3.8,32.5,64.7,22.7,57.1,86.8,21.2,"4.67",
"Lind, Adam","452252","2015","572","20","66",".277",".460",".360",".244",".421",".334","89.5","10.7",31.4,7.2,7.2,21,0.7,36,60.8,32.2,66.7,87.4,21.2,"4.83",
"Cabrera, Asdrubal","452678","2015","551","15","36",".265",".430",".315",".227",".385",".283","88.3","17.3",32.1,5.4,5.7,24.2,2,32.3,74,37.4,66.5,80.7,22.9,"4.61",
"Tulowitzki, Troy","453064","2015","534","17","38",".280",".440",".337",".256",".416",".318","90","12.7",31.4,5.3,7.4,29,2.4,40.4,62.8,28.6,66,82.3,23,"4.56",
"Blackmon, Charlie","453568","2015","682","17","46",".287",".450",".347",".261",".391",".327","86.8","15",35.4,3.7,6.8,26.2,3.7,29,59.6,27.6,70,89.7,15.7,"4.32",
"Frazier, Todd","453943","2015","678","35","44",".255",".498",".309",".251",".461",".307","89.6","18.8",32.7,9,6.5,21.8,2.7,38.8,73.5,34.9,61.4,82.3,24.7,"4.57",
"Markakis, Nick","455976","2015","686","3","70",".296",".376",".370",".263",".342",".342","88.3","6.8",30.6,0.8,3.2,30.9,3.4,33.6,60.4,25.6,82.9,91.1,11.6,"4.66",
"Butler, Billy","456714","2015","601","15","52",".251",".390",".323",".249",".441",".325","89.4","8.5",30.8,7.5,7.7,21.5,1.8,40.6,60.4,28.9,63.3,89.7,18.8,"5.05",
"Cain, Lorenzo","456715","2015","604","16","37",".307",".477",".361",".301",".473",".359","90.2","9.5",35.4,5.5,5.5,28.9,2.2,38.1,67.7,32.6,65.3,88.7,19,"4.22",
"McCutchen, Andrew","457705","2015","685","23","98",".292",".488",".401",".287",".523",".402","90.6","13.9",41,9.3,9.5,25.6,1.8,44.6,68,21.6,57.7,79.6,26.1,"4.36",
"Jackson, Austin","457706","2015","527","9","29",".267",".385",".311",".261",".380",".307","89.6","7.3",34.4,3.8,3.3,32,3,39.8,62.2,24.7,58.5,84.1,22.1,"4.45",
"Upton, Justin","457708","2015","619","26","68",".251",".454",".336",".231",".426",".322","89.8","16.2",28.6,10.1,5.7,22.2,3.1,39.2,67,22.7,50.2,74.4,31.8,"4.55",
"Maybin, Cameron","457727","2015","555","10","45",".267",".370",".327",".268",".366",".329","88.2","2.1",26.8,2.7,2.7,26,2.9,35.9,61.1,25.7,59.6,86.9,20.4,"4.28",
"Posey III, Buster","457763","2015","623","19","56",".318",".470",".379",".310",".499",".377","89","10.9",33.6,6.1,6.3,29.3,3.3,37.5,69.8,27,75.6,91.3,13.3,"4.69",
"Bruce, Jay","457803","2015","649","26","58",".226",".434",".294",".242",".444",".312","89.7","15.6",34.2,8.1,7.7,21.8,1.6,37.6,73.7,31,58.4,84,25.1,"4.49",
"Votto, Joey","458015","2015","695","29","143",".314",".541",".459",".289",".541",".443","90.2","11.5",42.7,10.9,7.3,28.2,3.4,42.2,61.4,16.7,64.6,79.3,23.9,"4.81",
"Coghlan, Chris","458085","2015","503","16","58",".250",".443",".341",".244",".402",".337","88.5","11",32.8,5.5,5.2,25.3,2.9,33.3,66.9,21.5,58.8,87.1,19.7,"4.44",
"Gardner, Brett","458731","2015","656","16","68",".259",".399",".343",".258",".394",".346","88.8","11.1",32,4,6.3,26,2.9,34.9,54.7,21.8,59.1,86.2,21.2,"4.09",
"Braun, Ryan","460075","2015","567","25","54",".285",".498",".356",".281",".503",".355","92.3","7.7",31.7,10.7,5.6,22.8,2,45.4,68.8,35.8,64,85.7,22.9,"4.43",
