"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Franco, Maikel","596748","2016","630","25","40",".255",".427",".306",".259",".431",".313","89.5","11.8",28.6,6.9,5.8,22.8,2.1,40.7,72.4,32.1,60.1,83.3,24.2,"4.67",
"Bradley Jr., Jackie","598265","2016","636","26","63",".267",".486",".349",".241",".434",".330","90.3","10.1",29,8.6,7.1,21.7,1.4,39.3,63.9,27.3,58.1,80,26.7,"4.32",
"Betts, Mookie","605141","2016","730","31","49",".318",".534",".363",".278",".446",".330","89.7","12.5",31.7,5.2,6.7,22.9,1.8,39.9,57.5,23.1,64.6,93,14.2,"4.23",
"Panik, Joe","605412","2016","526","10","50",".239",".379",".315",".259",".400",".339","86.3","13",30.6,4.5,4,24,1.9,26.8,63.5,21.8,75.2,93.1,11.2,"4.4",
"Pillar, Kevin","607680","2016","584","7","24",".266",".376",".303",".258",".361",".297","87.1","11.6",27.8,3,4.7,24.1,4.5,30.2,61.3,37.3,64.4,89.5,18.4,"4.29",
"Ramirez, Jose","608070","2016","618","11","44",".312",".462",".363",".290",".416",".345","88.4","13.2",35,3,5.5,27.8,3,32.9,62.1,26.2,81.9,89.2,12.6,"4.24",
"Russell, Addison","608365","2016","598","21","55",".238",".417",".321",".232",".412",".317","87.6","15.2",32.3,9.3,2.3,24,3.8,31.6,72.1,28.6,55.6,76.7,29.2,"4.21",
"Seager, Corey","608369","2016","687","26","54",".308",".512",".365",".304",".521",".364","91.1","10.3",37.5,8.3,7.5,28.4,1.6,44,78.5,28.8,55.4,85.2,23.3,"4.52",
"Mazara, Nomar","608577","2016","568","20","39",".266",".419",".320",".262",".428",".321","88","8.6",32.6,6.8,5.4,23.6,3.9,35,61.2,31.6,67.2,87.8,20.4,"4.37",
"Garcia, Adonis","611177","2016","562","14","24",".273",".406",".311",".280",".424",".319","89","7.9",30.1,5.2,3.4,30.5,1.6,34.9,69.6,36.5,67.1,85.4,21.2,"4.5",
"Correa, Carlos","621043","2016","660","20","75",".274",".451",".361",".285",".481",".372","91","7",32.9,7.7,7.7,27,2.7,43.5,63.5,27.8,61.6,82.4,24.3,"4.26",
"Tomas, Yasmany","630111","2016","563","31","31",".272",".508",".313",".275",".497",".317","90.6","10",33.7,10.6,6.6,26.6,1.8,42,79.8,39.9,53,79.7,30.6,"4.53",
"Beltran, Carlos","136860","2017","509","14","33",".231",".383",".283",".229",".369",".284","87.3","13.4",29.4,4.6,5.4,24.5,2.7,31,66.4,32.5,64.9,89.1,19.8,"4.48",
"Pujols, Albert","405395","2017","636","23","37",".241",".386",".286",".262",".444",".305","88.7","13.5",31.9,5.4,7.7,24.2,3.6,39.2,64.1,32,64,87.9,20.6,"5.11",
"Mauer, Joe","408045","2017","597","7","66",".305",".417",".384",".308",".469",".387","90.6","6.2",35.7,4.5,5.8,32.8,4,46.3,53.6,19.1,75,90.9,12.8,"4.53",
"Cabrera, Miguel","408234","2017","529","16","54",".249",".399",".329",".282",".521",".359","91.1","12.4",41.7,10.5,10.8,27.1,3.6,48.2,73,30.3,62.2,83.8,23.1,"4.87",
"Phillips, Brandon","408252","2017","604","13","21",".285",".416",".319",".272",".380",".308","84.6","8.2",31.1,2.4,3,28.7,4.6,25.1,75.6,39.4,68.3,86.8,20.2,"4.59",
"Reyes, Jose","408314","2017","561","15","50",".246",".413",".315",".242",".351",".313","84.3","15.8",32.8,2.6,4.2,24.7,4.9,24.2,62.8,29.6,71.3,87.4,17.7,"4.2",
"Choo, Shin-Soo","425783","2017","636","22","77",".261",".423",".357",".269",".476",".368","88.7","7.9",36.1,8.6,6.2,26.3,4.8,37.8,63.6,20.5,57.3,82.2,22.9,"4.44",
"Molina, Yadier","425877","2017","543","18","28",".273",".439",".312",".272",".462",".316","87.9","14.5",35.2,5.9,6.2,26.8,3.4,35,70.9,33.2,71.4,84.8,18.7,"4.81",
"Cano, Robinson","429664","2017","648","23","49",".280",".453",".338",".294",".486",".352","90.3","7.5",33.9,6.3,7.1,27.8,2.4,44,74.2,30.8,67.7,88.5,17.8,"4.61",
"Encarnacion, Edwin","429665","2017","669","38","104",".258",".504",".377",".266",".530",".387","89.2","16.8",36.4,10.3,7.3,25.8,3.8,42.5,67.8,20.9,57.4,80.5,25.4,"4.75",
"Bautista, Jose","430832","2017","686","23","84",".203",".366",".308",".210",".380",".316","88.3","17",29.7,6.6,6.8,21,5,35.6,62.9,22.7,56.3,78.1,28.4,"4.75",
"Jones, Adam","430945","2017","635","26","27",".285",".466",".322",".263",".438",".302","86.9","11.9",33.6,6.4,5.1,26.2,4.5,31.1,79.8,41.5,61.2,84.4,24.4,"4.48",
"Granderson, Curtis","434158","2017","527","26","71",".212",".452",".323",".225",".454",".337","87.7","20.2",33.1,10.9,6.7,17.3,3.3,34.4,58.5,19.8,62.8,86.6,19.2,"4.27",
"Ramirez, Hanley","434670","2017","553","23","51",".242",".429",".320",".264",".482",".340","88.5","12.6",35,9.5,6.3,24.7,4.2,38.4,71.4,28.1,55.1,83.2,25.6,"4.62",
"Morales, Kendrys","434778","2017","608","28","43",".250",".445",".308",".270",".512",".327","91.1","9.5",31.1,10,7.5,28,4,46.6,71.4,32.2,58.9,77.9,29,"4.96",
"Kinsler, Ian","435079","2017","613","22","55",".236",".412",".313",".256",".428",".331","86.3","19.5",37.2,4.9,6,26,4.1,30.1,64.1,25,70.7,89.4,15.5,"4.4",
"Cruz Jr., Nelson","443558","2017","645","39","70",".288",".549",".375",".288",".597",".378","93.2","12.4",34.5,14.2,9.7,19.9,2.6,48.3,70.2,27.8,50.3,78.5,30.5,"4.7",
"Trumbo, Mark","444432","2017","603","23","42",".234",".397",".289",".237",".403",".291","89.8","12.7",26.5,7.1,5.8,22.4,2.9,38.5,71.6,31.3,54.1,78.6,29.9,"4.65",
"Peralta, David","444482","2017","577","14","43",".293",".444",".352",".262",".399",".324","88","4.2",27,4.1,4.8,24.7,5.1,35.4,70.5,28.8,61.5,85.5,21.8,"4.3",
"Escobar, Alcides","444876","2017","629","6","15",".250",".357",".272",".253",".355",".275","84","14",34.1,2.2,4.5,25.8,5.3,21,73.2,35.5,67.2,83.5,20.4,"4.36",
"Longoria, Evan","446334","2017","677","20","46",".261",".424",".313",".249",".411",".306","86.7","12.7",32.4,5.2,6.2,23.4,4.3,32.4,68.7,32.2,66.5,85.4,20.9,"4.38",
"Cozart, Zack","446359","2017","507","24","62",".297",".548",".385",".255",".400",".349","85.8","14.8",35.7,4.4,4.7,26.4,5.5,28.9,61,21.6,67.9,89.7,16,"4.45",
"Reynolds, Mark","448602","2017","593","30","69",".267",".487",".352",".224",".421",".315","87.2","11.8",36.5,8.3,8.3,21.8,5.7,35.9,67.2,22.6,42,73.8,34.2,"4.75",
"Davis, Chris","448801","2017","524","26","61",".215",".423",".309",".223",".447",".320","90.1","15",40.4,12.8,8.7,28.3,3.4,45.5,59,27.4,44.4,74.3,35.2,"4.67",
"Headley, Chase","452104","2017","586","12","60",".273",".406",".352",".250",".387",".333","87.2","11.7",36.9,4.6,5.2,27.6,4.4,33.2,66.4,24.2,55.5,80.9,26,"4.69",
"Pence, Hunter","452254","2017","539","13","40",".260",".385",".315",".255",".425",".313","89","4.2",25.3,5.8,6.1,17.7,2.8,37.6,65,28.2,61.4,79.2,26.9,"4.16",
"Span, Denard","452655","2017","542","12","40",".272",".427",".329",".283",".409",".340","85.3","11",34.2,3.3,3.3,27.4,4.9,25.1,64.6,23.4,74.8,91.5,11.7,"4.34",
"Cabrera, Asdrubal","452678","2017","540","14","50",".280",".434",".351",".264",".430",".338","87.2","12",37.6,4.7,6.7,26.6,5,33.5,70.2,25.4,67.6,85.7,18.9,"4.66",
"Blackmon, Charlie","453568","2017","725","37","65",".331",".601",".399",".290",".519",".363","87.3","13.4",38.1,8.7,6,28.7,5.8,36.4,64,27.4,66.4,86.8,18.9,"4.22",
"Frazier, Todd","453943","2017","576","27","83",".213",".428",".344",".234",".456",".363","87.5","20.3",33.1,9.6,6.2,22.6,2.3,30.3,60,22.3,64.8,77.8,25.7,"4.47",
"Markakis, Nick","455976","2017","670","8","68",".275",".384",".354",".269",".382",".350","88.3","8.8",34,3.3,3.7,33.1,4.9,34.7,59,23.3,76,88.1,15.6,"4.49",
"Cain, Lorenzo","456715","2017","645","15","54",".300",".440",".363",".300",".432",".364","89.1","10.2",32.1,3.5,4.7,29.4,3.5,35.6,71.8,26.4,58.1,88.2,19.8,"4.25",
"McCutchen, Andrew","457705","2017","650","28","73",".279",".486",".363",".283",".481",".367","88.4","14.2",33.7,7.7,6.1,26.5,5.9,38.9,68.4,20.6,66.5,82.5,21.2,"4.3",
"Upton, Justin","457708","2017","635","35","74",".273",".540",".361",".255",".508",".345","88.8","15.7",36,13.2,6.1,24.9,4.8,41.3,64.9,24,54.5,75.1,30.5,"4.35",
"Turner, Justin","457759","2017","543","21","59",".322",".530",".415",".298",".548",".398","89.4","18.5",37.7,8.6,5.6,26.4,2.4,38.6,67.5,21.6,74.1,87.9,15.7,"4.68",
"Posey III, Buster","457763","2017","568","12","61",".320",".462",".400",".277",".443",".365","88.7","11.6",36.5,3.5,6.7,28.6,3.2,34.8,66.2,23.4,73.5,87.9,15.9,"4.7",
"Bruce, Jay","457803","2017","617","36","57",".254",".508",".324",".261",".501",".332","88.4","18.4",39.4,10.5,8.8,23.6,4.1,38.8,72.8,29.5,53.8,80.9,27.6,"4.4",
"Votto, Joey","458015","2017","707","36","134",".320",".578",".454",".299",".555",".439","87.5","14.1",40.5,9.1,7.3,25.5,5.4,32.8,70.4,13.2,70.9,87.2,15.4,"4.77",
"Gardner, Brett","458731","2017","682","21","72",".264",".428",".350",".269",".404",".355","86.4","10.3",34.4,3.8,5.4,28.1,5.6,31,52.6,21.7,70.8,89.2,15.4,"4.04",
"Joyce, Matt","459964","2017","544","25","66",".243",".473",".335",".254",".480",".349","88.2","15.1",38.3,8.8,8.3,23.7,2.8,34.4,66.7,19,60.9,79.3,24.9,"4.51",
"Gordon, Alex","460086","2017","541","9","45",".208",".315",".293",".225",".358",".312","86.3","13.8",34.6,4.5,6.7,23.6,5.1,31.3,69.6,25.3,60,82.8,23,"4.5",
"Andrus, Elvis","462101","2017","689","20","38",".297",".471",".337",".264",".406",".308","86.5","7.6",32.5,4.2,3.8,24.7,4.9,31.3,63.2,31.8,66.9,86.9,19.5,"4.35",
"Cabrera, Melky","466320","2017","666","17","36",".285",".423",".324",".297",".426",".337","88.3","8.9",33.6,3.8,4.7,29.1,2.9,35.1,63.7,30.9,74.3,93,13.4,"4.45",
"Santana, Carlos","467793","2017","667","23","88",".259",".455",".363",".266",".463",".371","88.6","13",28.4,7.5,6.5,23,5.4,38.6,61,19.7,68.6,84.7,19.4,"4.49",
"Gonzalez, Carlos","471865","2017","534","14","56",".262",".423",".339",".235",".367",".318","87.5","6.2",28.9,5.9,5.9,22.4,5.6,37,71.5,32,48.8,77.6,31.9,"4.31",
"Mercer, Jordy","474568","2017","558","14","51",".255",".406",".326",".254",".374",".326","85.8","9.1",35.3,3.1,5,27.9,6,32.4,61.3,23.8,67.9,91.1,15.6,"4.34",
"Alonso, Yonder","475174","2017","521","28","68",".266",".501",".365",".260",".497",".359","89.2","19.4",35.7,9.9,6.9,29.1,2.1,41.1,72.5,26,58.3,80.1,26.1,"4.88",
"Smoak, Justin","475253","2017","637","38","73",".270",".529",".355",".278",".567",".363","89.6","17.1",39.4,13.6,5.5,24.7,4.4,43,65.7,24,60.2,83.6,23.5,"4.87",
"Zimmerman, Ryan","475582","2017","576","36","44",".303",".573",".358",".290",".555",".347","91.4","8.3",32.3,12.2,7.9,24.1,3.5,49.1,61.8,29.2,61.3,83.4,24.4,"4.42",
"Lowrie, Jed","476704","2017","645","14","73",".277",".448",".360",".289",".481",".371","89.1","18.7",43.2,6,6.4,31.1,1.3,37.7,74.6,22.1,65,85.9,18.7,"4.5",
"Morrison, Logan","489149","2017","601","38","81",".246",".516",".353",".253",".511",".361","88.6","17.6",39.6,12.8,7.1,21.6,4.1,42.3,69.5,25.1,52.6,78.9,28.8,"4.49",
"Gurriel, Yuli","493329","2017","564","18","22",".299",".486",".332",".287",".435",".323","89.9","10.4",29.2,3.4,7.8,27.7,3.6,43.5,69.1,30.5,68.4,89.3,17.6,"4.36",
"Solarte, Yangervis","500208","2017","512","18","37",".255",".416",".314",".242",".376",".305","85.4","14.7",31.8,3.9,4.6,22.2,6.1,27.6,71.9,33.5,71.7,91,15.9,"4.74",
"Freese, David","501896","2017","503","10","58",".263",".371",".368",".258",".395",".368","88.9","3.1",31.2,6.4,4.5,26.8,5.4,42.9,61.7,24.1,64.3,82,23.2,"4.43",
"Davis, Khris","501981","2017","652","43","73",".247",".528",".336",".259",".575",".349","92.2","14.2",37.6,17.7,9.3,20.1,2.9,52.4,75.1,21.8,42.4,74,33.7,"4.73",
"Pham, Tommy","502054","2017","530","23","71",".306",".520",".411",".278",".481",".388","89.6","6.9",34.3,9.3,3.9,25.9,5.4,43.7,59.6,16.2,55.9,85.3,20.9,"4.4",
"Reddick, Josh","502210","2017","533","13","43",".314",".484",".363",".291",".440",".347","87.7","17.8",38.3,3.8,5.3,30.4,3.1,31.6,64.5,27.6,71.1,90.9,15.6,"4.2",
"Murphy, Daniel","502517","2017","593","23","52",".322",".543",".384",".301",".492",".366","89.6","17.3",39.6,4.8,7.4,32.2,2.8,41.8,66.5,30.6,77.5,91,13.7,"4.39",
"Goldschmidt, Paul","502671","2017","664","36","94",".297",".563",".404",".284",".560",".393","91.5","11.6",32.8,13.3,8.4,26.5,3.1,47.5,62.1,23,61.7,78.6,26.5,"4.47",
"Gonzalez, Marwin","503556","2017","515","23","49",".303",".530",".377",".247",".408",".330","88.7","11.7",29.4,6.6,4.7,26,3.3,36.6,61.7,26.6,64.9,86.7,20.2,"4.31",
"Altuve, Jose","514888","2017","662","24","58",".346",".547",".410",".291",".477",".363","86.1","9.7",34.8,6.7,4.9,26,6.1,28.1,67.7,31.9,71.9,89.6,16.8,"4.13",
"Hernandez, Cesar","514917","2017","577","9","61",".294",".421",".373",".271",".396",".355","85.7","4.5",33.3,2.9,5.4,26,6.4,29.7,61.5,20.4,57.9,83.9,20.6,"4.14",
"Segura, Jean","516416","2017","566","11","34",".300",".427",".349",".272",".402",".325","87.6","6.7",32.8,3.2,5.7,25.1,4.3,34.5,66.6,31.9,73.4,88.6,15.8,"4.26",
"Freeman, Freddie","518692","2017","514","28","65",".307",".586",".403",".292",".595",".392","89.7","16",40.1,13.3,5.5,24.5,3.5,42.7,82.1,29,62.5,80.2,24.9,"4.43",
"LeMahieu, DJ","518934","2017","682","8","59",".310",".409",".374",".304",".404",".370","89.3","3.3",31.7,1.9,4.7,32.8,3.8,41.4,59,22.3,76.5,89.9,12.6,"4.5",
"Moreland, Mitch","519048","2017","576","22","57",".246",".443",".326",".271",".532",".351","89.3","11.6",34.9,12,5.9,24.9,3.8,36.4,69.2,27.3,55.1,83.1,25.8,"4.36",
"Moustakas, Mike","519058","2017","598","38","34",".272",".521",".314",".268",".492",".314","87.4","18.2",34,8.6,6,22.9,4.5,33.8,75.8,39,65.8,87,20.9,"4.81",
"Rizzo, Anthony","519203","2017","691","32","91",".273",".507",".392",".285",".522",".405","88.4","15.5",34.2,9.3,5.6,24.1,6.4,39.1,67,27.9,68,87.6,18.2,"4.58",
"Souza Jr., Steven","519306","2017","617","30","84",".239",".459",".351",".238",".458",".352","88.8","11.7",33.4,11.5,3.2,23.6,4.3,38.6,69.5,21.4,46.6,74.6,31.9,"4.26",
"Stanton, Giancarlo","519317","2017","692","59","85",".281",".631",".376",".277",".599",".373","92","11.2",31.6,17.4,6.2,19.7,4.6,45.6,66.5,24.4,48.3,77.6,31.8,"4.5",
"Thames, Eric","519346","2017","551","31","75",".247",".518",".359",".228",".455",".343","88.2","12.8",36.3,11.1,6.9,23.9,6.5,39.3,66.7,23.7,48.5,77.2,31.5,"4.24",
"Galvis, Freddy","520471","2017","663","12","45",".255",".382",".309",".242",".360",".298","86.3","15.2",32.8,2.4,4.6,25.8,4.6,23.5,67.4,32,69.4,87.5,17.6,"4.29",
"Garcia, Avisail","541645","2017","561","18","33",".330",".506",".380",".296",".513",".349","90.3","7.6",31.4,8.8,5.1,27.7,2.9,40.8,83.4,37.7,49.8,81.7,29.3,"4.28",
"Inciarte, Ender","542255","2017","718","11","49",".304",".409",".350",".264",".351",".315","82.8","10.2",34.3,0.5,4.2,26.6,8.3,13.1,71.1,35.8,76,88.1,14.3,"4.15",
"Ozuna, Marcell","542303","2017","679","37","64",".312",".548",".376",".284",".520",".351","90.9","10.2",31,9.3,8.1,23.6,5.5,45.6,72.8,30,56.1,81.5,26.9,"4.39",
"Beckham, Tim","542921","2017","575","22","36",".278",".454",".328",".261",".446",".313","88.4","8.5",34.8,9.5,5.2,26.4,3.5,40.7,71.2,30.3,49.1,77,30.8,"4.37",
"Crawford, Brandon","543063","2017","570","14","42",".253",".403",".305",".241",".394",".300","87.5","11.3",34.8,5.8,5.1,25.6,2.9,33.5,76.2,28.8,51.5,80,27.9,"4.41",
"Harrison, Josh","543281","2017","542","16","28",".272",".432",".339",".252",".390",".323","84.9","16.5",38.4,2.7,8.5,25.9,7.2,24.1,73,33,69.1,81.3,21.7,"4.3",
"Hosmer, Eric","543333","2017","671","25","66",".318",".498",".385",".286",".454",".357","89.8","3.9",30.3,7,3.8,26.5,4.2,39.4,69.7,26.9,59.5,86.4,21.6,"4.3",
"Rendon, Anthony","543685","2017","605","25","84",".301",".533",".403",".275",".478",".384","89.8","18.3",34.7,6.5,7.4,26.2,1.9,38.4,61.7,18.8,70.7,90,14.2,"4.27",
"Shaw, Travis","543768","2017","606","31","60",".273",".513",".349",".251",".440",".329","88.6","14.9",34.7,7.4,6.7,25.2,3.7,39.4,66.8,27.6,66.2,84.5,21.1,"4.52",
"Springer III, George","543807","2017","628","34","64",".283",".522",".367",".288",".528",".373","89.2","9.3",31.1,9.3,7.9,22.7,5.4,43.2,68,22.3,57.8,83,23.3,"4.3",
"Strange-Gordon, Dee","543829","2017","694","2","25",".308",".375",".341",".261",".317",".300","81.6","2.2",27.7,0.2,1.2,24,8.1,11.2,69.8,36,73,86.4,14.1,"3.89",
"Gregorius, Didi","544369","2017","569","25","25",".287",".478",".318",".262",".385",".298","84.5","17.7",35.5,3.6,3.4,25.3,4.2,20.9,81.7,37.9,65.1,84.6,21.8,"4.26",
"Trout, Mike","545361","2017","507","33","94",".306",".629",".442",".294",".589",".434","88.8","18",36.4,13.3,4.7,25.6,5.7,39.9,58.8,18.8,63.5,88.3,18.2,"4.25",
"Herrera, Odubel","546318","2017","563","14","31",".281",".452",".325",".261",".408",".307","87.2","9.7",35.1,6.2,4.7,27.1,4.2,32.3,71.2,38.1,59.9,81.1,26.6,"4.15",
"Abreu, Jose","547989","2017","675","33","35",".304",".552",".354",".290",".520",".342","90.6","11.1",34.2,9.5,7.7,25.3,3.2,45.2,67.3,30.5,59.3,86.4,22.5,"4.53",
"Suarez, Eugenio","553993","2017","632","26","84",".260",".461",".367",".261",".439",".368","86.2","14.8",39,6.9,7.1,27.3,4.8,32.1,64.3,21.5,54,83.2,24.4,"4.47",
"Santana, Domingo","570267","2017","607","30","73",".278",".505",".371",".266",".461",".361","89.2","10.5",40.6,9.4,6,29.4,2.6,40.4,70.5,24.2,48.9,75,32.2,"4.45",
"Sanchez, Yolmer","570560","2017","534","12","35",".267",".413",".319",".241",".356",".297","84.8","10.4",32.6,3.4,3.1,25.8,3.6,24.6,67.5,33.2,60.2,83.1,23.6,"4.19",
"Schoop, Jonathan","570731","2017","675","32","35",".293",".503",".338",".271",".441",".320","87.8","13",35.3,7,6.2,27.9,5.7,37.2,75.2,33,56.3,80,28.1,"4.47",
"Arenado, Nolan","571448","2017","679","37","62",".309",".586",".373",".280",".525",".349","88.8","17.6",37.5,8.5,8.5,23.5,2.8,37.9,71.1,28.1,59.8,84.4,23.3,"4.58",
"Hamilton, Billy","571740","2017","633","4","44",".247",".335",".299",".239",".289",".293","80.5","10.2",32.5,0.4,1.3,25.9,6.6,11.7,65.2,26.7,68.9,82.2,19.2,"3.9",
"Joseph, Tommy","571830","2017","533","22","33",".240",".432",".289",".238",".401",".290","89.3","14.1",30.9,7.3,6.5,24.9,4.1,40.3,67.7,34.4,56.6,83.5,26.6,"4.86",
"Lamb, Jake","571875","2017","635","30","87",".248",".487",".357",".253",".466",".364","88.3","12.2",34.4,9.3,5.7,25.7,3.6,36.3,60.6,20.4,54.6,83.9,23.8,"4.37",
"Myers, Wil","571976","2017","649","30","70",".243",".464",".328",".234",".442",".323","89.4","15.4",35.3,9.1,6.3,22.6,6.3,44.6,65,25.3,59.1,80.9,25.8,"4.27",
"Seager, Kyle","572122","2017","650","27","58",".249",".450",".323",".258",".477",".333","88.3","21",35.2,8.6,7.6,22.4,2.5,33.9,62.4,23.6,64.9,84.1,20.9,"4.47",
"Carpenter, Matt","572761","2017","622","23","109",".241",".451",".384",".253",".480",".396","89.7","22.6",37.7,8.2,8.4,25.6,2.9,37.2,55.7,14.2,59.8,84.6,19.5,"4.39",
"Dickerson, Corey","572816","2017","628","27","35",".282",".490",".325",".255",".444",".299","87.2","13.9",35.6,7.5,4.6,25.8,3.4,31.7,78.7,42.7,68.9,73.1,28.6,"4.22",
"Dozier, Brian","572821","2017","705","34","78",".271",".498",".359",".244",".468",".336","87.9","16.7",32,8.4,7.5,22.2,4.6,34.7,59.6,25.7,64.7,79.8,24.6,"4.37",
"Bryant, Kris","592178","2017","665","29","95",".295",".537",".409",".260",".497",".382","87","17",35.1,9.6,6.1,21.3,4.2,36.6,71,24.3,61.4,82.1,24.1,"4.14",
"Castellanos, Nick","592206","2017","665","26","41",".272",".490",".320",".293",".542",".342","89.1","14.2",42.8,10.7,10.5,25.6,3.4,42,73.1,31.8,54.4,82.2,26.8,"4.27",
"Gamel, Ben","592325","2017","550","11","36",".275",".413",".322",".254",".378",".304","86.3","10.9",33.2,4.1,4.6,28.6,3.3,29.3,62.3,26.6,63.2,85.3,20.9,"4.18",
"Healy, Ryon","592387","2017","605","25","23",".271",".451",".302",".253",".446",".287","88.3","12.8",35.6,7.6,7.3,23.6,5,40.4,62.2,33.6,56.2,83,26.8,"4.56",
"Judge, Aaron","592450","2017","678","52","127",".284",".627",".422",".287",".668",".427","95","15.8",38.2,25.7,7.7,20.7,3.3,54.7,66.1,22.8,39.7,77,34.9,"4.5",
"Machado, Manny","592518","2017","690","33","50",".259",".471",".310",".279",".517",".333","91.3","13.6",30.3,10.5,8.4,21.2,5,47.5,71.9,29.6,60.6,86.3,21.9,"4.63",
"Realmuto, J.T.","592663","2017","579","17","36",".278",".451",".332",".279",".444",".335","88.2","10.1",32.6,6.3,5.4,25.9,2.8,35.5,66.9,28.4,65.8,86.6,19.2,"4.22",
"Rosario, Eddie","592696","2017","589","27","35",".290",".507",".328",".264",".478",".306","87.2","13.3",32.4,7.4,6.3,21.2,5.1,31.8,76,36.8,68.8,78.6,24,"4.18",
"Simmons, Andrelton","592743","2017","647","14","47",".278",".421",".331",".261",".381",".318","86.1","7.8",31.3,2.5,5.7,26.6,5.5,28.7,66.5,26.7,76.1,89.4,13.5,"4.41",
"Yelich, Christian","592885","2017","694","18","80",".282",".439",".369",".281",".453",".371","90.6","4.6",29.5,7,5.5,27,3.6,45.8,64,23.1,57.7,85.7,22.1,"4.24",
"Merrifield, Whit","593160","2017","630","19","29",".288",".460",".324",".275",".454",".314","87.6","16.4",36.5,5.1,6.3,24.7,3.7,29.6,68.5,32.2,68.7,88.1,17.5,"4.22",
"Bogaerts, Xander","593428","2017","635","10","56",".273",".403",".343",".243",".332",".317","87.3","8.1",26.7,1.3,3.7,27.1,3.7,30.2,55.1,29.1,63.6,87.5,20.8,"4.21",
"Polanco, Jorge","593871","2017","544","13","41",".256",".410",".313",".240",".362",".302","85","16.3",31.4,2.6,3.5,24.3,5.4,25.8,62.4,24.2,66.9,89.8,14.4,"4.15",
"Calhoun, Kole","594777","2017","654","19","71",".244",".392",".333",".249",".412",".340","88.3","12.3",34.9,5.7,5.7,26.3,3.2,35.5,70.9,28.9,58.6,81.5,25.7,"4.52",
"Duvall, Adam","594807","2017","647","31","39",".249",".480",".301",".226",".420",".284","87.3","21.1",34.6,8.9,5.6,20.6,3,32.6,66.3,31.4,60.5,81,26,"4.37",
"Schebler, Scott","594988","2017","531","30","39",".233",".484",".307",".256",".493",".330","89.1","11.6",30,10.2,7.6,19.8,5.1,40.8,76.3,32.8,58,76.6,29.2,"4.24",
"Baez, Javier","595879","2017","508","23","30",".273",".480",".317",".239",".429",".287","87.9","10.1",28.2,8.4,5.7,22.5,3.6,36,73.3,42.9,47.3,75,36.2,"4.24",
"Lindor, Francisco","596019","2017","723","33","60",".273",".505",".337",".280",".500",".345","89.1","14.6",32.2,7.1,6.9,22.8,4.1,35.9,67.8,28.9,70.9,90.5,15.3,"4.23",
"Odor, Rougned","596059","2017","651","30","32",".204",".397",".252",".230",".404",".277","89.1","15.9",27.2,6,8.2,22.5,3.8,36.6,71.7,37.2,59.6,82.8,25.9,"4.17",
"Story, Trevor","596115","2017","555","24","49",".239",".457",".308",".217",".409",".289","89.4","19.2",37.1,10.5,6.4,22,2.9,38.3,68.9,26.8,48.7,75.8,31.4,"4.18",
"Sanchez, Gary","596142","2017","525","33","40",".278",".531",".345",".288",".552",".356","90.8","13.1",33.5,11.8,6.8,26.5,2.5,42.9,66.1,32.5,56,80.6,28.5,"4.51",
"Kepler, Max","596146","2017","568","19","47",".243",".425",".312",".244",".375",".315","88.7","13.2",31.9,4,5.7,24.9,5,36.7,61.1,26.8,59.4,85.2,22.2,"4.23",
"Franco, Maikel","596748","2017","623","24","41",".230",".409",".281",".246",".397",".299","88.8","11.5",26.6,6,4.9,22.7,4.1,36.2,74.7,28.5,66.7,82.4,22.3,"4.76",
"Bradley Jr., Jackie","598265","2017","541","17","48",".245",".402",".323",".238",".407",".319","88.3","9.5",30.6,7.5,3.9,24.4,5.6,40,67.1,26,56.4,75.6,29.6,"4.29",
"Bell, Josh","605137","2017","620","26","66",".255",".466",".334",".261",".432",".341","87.6","8.6",28.9,6.4,5.3,25.5,5,34.3,66.9,24.1,65.6,81.1,23.5,"4.39",
"Betts, Mookie","605141","2017","712","24","77",".264",".459",".344",".273",".436",".355","88.4","14.3",31.9,4.5,7,22.7,3.8,37.9,53.4,19.3,70.1,89.6,15.7,"4.21",
"Panik, Joe","605412","2017","573","10","46",".288",".421",".347",".256",".374",".324","85","11.4",32.9,2.6,4.5,24.4,5.8,23.9,63.9,23.2,78.8,92.7,11.1,"4.45",
"Arcia, Orlando","606115","2017","548","15","36",".277",".407",".324",".243",".352",".296","85.7","6.8",28.7,3.9,2.7,25.3,5.1,27.6,74.8,34.7,59.5,80.5,25.6,"4.38",
"Peraza, Jose","606299","2017","518","5","20",".259",".324",".297",".282",".365",".320","82.8","11.2",32.5,1.7,2.1,27.3,5.9,20,68.2,34.4,69.1,90.4,15.2,"4.16",
"Pillar, Kevin","607680","2017","632","16","33",".256",".404",".300",".270",".401",".315","86","13",33.3,3.4,5.2,27.5,5.2,29.1,67.9,36.9,69.2,90.8,16.4,"4.38",
"Ramirez, Jose","608070","2017","645","29","52",".318",".583",".374",".302",".487",".360","88.2","15",35.5,5,7.1,28,3.8,34.7,65.8,23.1,76,90.4,13.6,"4.28",
